2024-10-21 10:49:55 [main] INFO  pages.LumaHomePage - Clicking on 'What's New' link
2024-10-21 10:51:52 [main] INFO  pages.LumaHomePage - Clicking on 'What's New' link
2024-10-21 10:59:09 [main] INFO  pages.LumaHomePage - Clicking on 'What's New' link
2024-10-21 11:03:47 [main] INFO  pages.LumaHomePage - Clicking on 'What's New' link
2024-10-21 11:05:21 [main] INFO  pages.LumaHomePage - Clicking on 'What's New' link
2024-10-21 11:14:29 [main] INFO  pages.LumaHomePage - Clicking on 'What's New' link
2024-10-21 11:23:32 [main] INFO  step_definitions.ValidateWhatsNewProducts - Navigating to Luma homepage.
2024-10-21 11:23:35 [main] INFO  step_definitions.ValidateWhatsNewProducts - User logged in successfully
2024-10-21 11:23:35 [main] INFO  step_definitions.ValidateWhatsNewProducts - User clicks on the 'What's New' link.
2024-10-21 11:23:35 [main] INFO  pages.LumaHomePage - Clicking on 'What's New' link
2024-10-21 11:23:37 [main] INFO  step_definitions.ValidateWhatsNewProducts - Clicked on 'What's New' link.
2024-10-21 11:23:37 [main] INFO  step_definitions.ValidateWhatsNewProducts - Validating displayed products.
2024-10-21 11:23:37 [main] INFO  step_definitions.ValidateWhatsNewProducts - Number of products displayed matches expected count.
2024-10-21 11:23:37 [main] INFO  step_definitions.ValidateWhatsNewProducts - Product 'Wayfarer Messenger Bag' matched with price '45.00'.
2024-10-21 11:23:37 [main] INFO  step_definitions.ValidateWhatsNewProducts - Product 'Overnight Duffle' matched with price '45.00'.
2024-10-21 11:23:37 [main] INFO  step_definitions.ValidateWhatsNewProducts - Product 'Summit Watch' matched with price '54.00'.
2024-10-21 11:23:37 [main] INFO  step_definitions.ValidateWhatsNewProducts - Product 'Dash Digital Watch' matched with price '92.00'.
2024-10-21 11:23:37 [main] INFO  step_definitions.ValidateWhatsNewProducts - Loading expected products from JSON for 'whatsNew' category.
2024-10-21 11:23:37 [main] INFO  step_definitions.ValidateWhatsNewProducts - Number of products displayed matches expected count from JSON.
2024-10-21 11:23:37 [main] INFO  step_definitions.ValidateWhatsNewProducts - Product 'Wayfarer Messenger Bag' has a matching price of '45.0'.
2024-10-21 11:23:37 [main] INFO  step_definitions.ValidateWhatsNewProducts - Product 'Overnight Duffle' has a matching price of '45.0'.
2024-10-21 11:23:37 [main] INFO  step_definitions.ValidateWhatsNewProducts - Product 'Summit Watch' has a matching price of '54.0'.
2024-10-21 11:23:37 [main] INFO  step_definitions.ValidateWhatsNewProducts - Product 'Dash Digital Watch' has a matching price of '92.0'.
2024-10-21 11:23:56 [main] INFO  step_definitions.ValidateWhatsNewProducts - Navigating to Luma homepage.
2024-10-21 11:23:58 [main] INFO  step_definitions.ValidateWhatsNewProducts - User logged in successfully
2024-10-21 11:23:58 [main] INFO  step_definitions.ValidateWhatsNewProducts - User clicks on the 'What's New' link.
2024-10-21 11:23:58 [main] INFO  pages.LumaHomePage - Clicking on 'What's New' link
2024-10-21 11:23:59 [main] INFO  step_definitions.ValidateWhatsNewProducts - Clicked on 'What's New' link.
2024-10-21 11:23:59 [main] INFO  step_definitions.ValidateWhatsNewProducts - Validating displayed products.
2024-10-21 11:24:00 [main] INFO  step_definitions.ValidateWhatsNewProducts - Number of products displayed matches expected count.
2024-10-21 11:24:00 [main] INFO  step_definitions.ValidateWhatsNewProducts - Product 'Wayfarer Messenger Bag' matched with price '45.00'.
2024-10-21 11:24:00 [main] INFO  step_definitions.ValidateWhatsNewProducts - Product 'Overnight Duffle' matched with price '45.00'.
2024-10-21 11:24:00 [main] INFO  step_definitions.ValidateWhatsNewProducts - Product 'Summit Watch' matched with price '54.00'.
2024-10-21 11:24:00 [main] INFO  step_definitions.ValidateWhatsNewProducts - Product 'Dash Digital Watch' matched with price '92.00'.
2024-10-21 11:24:00 [main] INFO  step_definitions.ValidateWhatsNewProducts - Loading expected products from JSON for 'whatsNew' category.
2024-10-21 11:24:00 [main] INFO  step_definitions.ValidateWhatsNewProducts - Number of products displayed matches expected count from JSON.
2024-10-21 11:24:00 [main] INFO  step_definitions.ValidateWhatsNewProducts - Product 'Wayfarer Messenger Bag' has a matching price of '45.0'.
2024-10-21 11:24:00 [main] INFO  step_definitions.ValidateWhatsNewProducts - Product 'Overnight Duffle' has a matching price of '45.0'.
2024-10-21 11:24:00 [main] INFO  step_definitions.ValidateWhatsNewProducts - Product 'Summit Watch' has a matching price of '54.0'.
2024-10-21 11:24:00 [main] INFO  step_definitions.ValidateWhatsNewProducts - Product 'Dash Digital Watch' has a matching price of '92.0'.
